paper_id,title,doi,reason
REFINE-0001,Down-regulated miR-16-2 in peripheral blood is positively correlated with decreased bilateral insula volume in patients with major depressive disorder,10.1016/j.jad.2023.05.068,DOI landing page unresolved
REFINE-0002,Sex-specific grey matter abnormalities in individuals with chronic insomnia,10.1007/s10072-023-07224-7,DOI landing page unresolved
REFINE-0005,Reduced prefrontal cortical gray matter volume in young adults exposed to harsh corporal punishment,10.1016/j.neuroimage.2009.03.005,Publisher HTTP 403: www.sciencedirect.com
REFINE-0006,Obesity and major depression: Body-mass index (BMI) is associated with a severe course of disease and specific neurostructural alterations,10.1016/j.psyneuen.2014.10.001,DOI landing page unresolved
REFINE-0007,Dissociable morphometric profiles of the affective and cognitive dimensions of alexithymia,10.1016/j.cortex.2014.02.017,Repository landing page unresolved
REFINE-0008,Electroconvulsive therapy increases temporal gray matter volume and cortical thickness,10.1016/j.euroneuro.2015.12.036,DOI landing page unresolved
REFINE-0009,Examining the relationship between gray matter volume and a continuous measure of bipolarity in unmedicated unipolar and bipolar depression,10.1016/j.jad.2020.10.071,PMC full-text available as HTML; no downloadable PDF link found
REFINE-0010,Subthreshold depression may exist on a spectrum with major depressive disorder: Evidence from gray matter volume and morphological brain network,10.1016/j.jad.2020.01.135,DOI landing page unresolved
REFINE-0011,Neural biomarker of functional disability in major depressive disorder: A structural neuroimaging study,10.1016/j.pnpbp.2021.110337,DOI landing page unresolved
REFINE-0012,Adverse childhood experiences influence the detrimental effect of bipolar disorder and schizophrenia on cortico-limbic grey matter volumes,10.1016/j.jad.2015.09.049,DOI landing page unresolved
REFINE-0013,Neuroanatomical correlates of attitudes toward suicide in a large healthy sample: A voxel-based morphometric analysis,10.1016/j.neuropsychologia.2015.11.012,DOI landing page unresolved
REFINE-0014,Voxel-based morphometry study of the insular cortex in female patients with current and remitted depression,10.1016/j.neuroscience.2013.12.058,DOI landing page unresolved
REFINE-0015,Distinct associations of insula and cingulate volume with the cognitive and affective dimensions of alexithymia,10.1016/j.neuropsychologia.2013.12.006,Repository landing page unresolved
REFINE-0016,The contribution of regional gray/white matter volume in preclinical depression assessed by the Automatic Thoughts Questionnaire: A voxel-based morphometry study,10.1097/wnr.0000000000000222,DOI landing page unresolved
